# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	14555
#@/user_id	95b5c598-e3d7-4e3e-99a8-9ddd8ef1376f
a 	啊	c=37 d=1.81578 t=13528
a jin 	阿進	c=1 d=1 t=8575
a yao 	啊喲	c=0 d=0.1 t=13665
ai 	唉	c=1 d=1 t=9564
ai 	愛	c=8 d=1.91279 t=10233
ai ni 	愛你	c=3 d=1.98553 t=10612
an jian 	按鍵	c=1 d=1 t=18
an quan 	安全	c=3 d=1 t=8657
an quan xing 	安全性	c=1 d=1 t=8659
an wan 	安完	c=1 d=1 t=12548
an zhao 	按照	c=19 d=1.00006 t=13562
an zhuang 	安裝	c=19 d=2.15128 t=12647
ao bao 	敖包	c=1 d=1 t=8144
ba 	八	c=1 d=1 t=7431
ba 	吧	c=18 d=1.14728 t=13550
ba 	把	c=27 d=2.48866 t=13611
ba ba 	爸爸	c=1 d=1 t=9120
ba ma 	爸媽	c=0 d=0.1 t=10
ba wang 	霸王	c=1 d=1.02516 t=873
ba wang tiao kuan 	霸王條款	c=2 d=1.21119 t=909
ba wo 	把握	c=1 d=1 t=1263
bai 	擺	c=1 d=1 t=9503
bai 	白	c=1 d=1 t=9259
bai du 	百度	c=6 d=2.76969 t=13669
bai ming dan 	白名單	c=4 d=1.93707 t=13389
bai se 	白色	c=1 d=1 t=2640
bai yun 	白雲	c=1 d=1 t=1093
ban 	辦	c=1 d=1 t=728
ban ben 	版本	c=5 d=1.11903 t=14448
ban fa 	辦法	c=3 d=1.92778 t=11466
ban gong shi 	辦公室	c=2 d=1 t=11007
ban ji 	班級	c=1 d=1 t=9562
ban ka 	板卡	c=1 d=1 t=11189
ban kuai 	版塊	c=3 d=2.70017 t=265
ban quan 	版權	c=3 d=2.74752 t=13462
ban tian 	半天	c=1 d=1 t=10659
ban yuan 	半圓	c=1 d=1 t=13796
bang ding 	綁定	c=2 d=1.0006 t=9434
bang mang 	幫忙	c=2 d=1.52205 t=1250
bang wo 	幫我	c=6 d=1 t=11328
bang zhu 	幫助	c=2 d=1 t=12760
bao 	保	c=1 d=1 t=445
bao 	包	c=0 d=0.1 t=208
bao 	寶	c=2 d=1 t=13018
bao bao 	寶寶	c=16 d=3.04128 t=13544
bao cun 	保存	c=3 d=1.97531 t=11149
bao gui 	寶貴	c=1 d=1 t=9045
bao han 	包含	c=19 d=1 t=14240
bao han 	包涵	c=1 d=1 t=9748
bao han le 	包含了	c=3 d=1.8825 t=9402
bao hu 	保護	c=1 d=1 t=8918
bao ku ao 	包苦熬	c=1 d=1 t=209
